  1.051882615238619E-023  -837.800000000000        200.000000000016     
 -1.239431011387705E-003  -829.425814086323        199.999999630313     
 -1.596326753512566E-004  -821.051628083405        199.999999623153     
  1.542666575040484E-003  -812.677442051634        199.999999622949     
 -9.462156514986494E-004  -804.303256023472        199.999999622884     
 -6.782922818682999E-004  -795.929069384326        199.999999622819     
 -3.901483345575487E-004  -787.554882458369        199.999999622747     
 -1.255898834514722E-005  -779.180695215142        199.999999622668     
  4.860037002304009E-004  -770.806507632470        199.999999622582     
 -1.640391967177462E-003  -762.432319943297        199.999999622493     
 -1.151669993736497E-003  -754.058131632021        199.999999622404     
  1.123263238026265E-003  -745.683943256780        199.999999622317     
 -1.282958231333715E-003  -737.309754580051        199.999999622237     
 -1.683375962436537E-004  -728.935565326931        199.999999622166     
 -2.218679610647872E-003  -720.561375990728        199.999999622106     
  1.944513243722028E-003  -712.187187230854        199.999999622060     
 -2.130265418628827E-003  -703.812998277774        199.999999622029     
 -7.359878606278620E-005  -695.438808502836        199.999999622015     
 -2.145277189339625E-003  -687.064618726434        199.999999622020     
  1.526589302786207E-003  -678.690429577769        199.999999622044     
 -2.460884597684955E-003  -670.316240737243        199.999999622088     
  8.238978084647855E-004  -661.942051840633        199.999999622151     
 -3.021361270740785E-003  -653.567863517175        199.999999622232     
  1.995396754835314E-003  -645.193676229215        199.999999622330     
 -1.744690375392925E-003  -636.819488764865        199.999999622442     
 -1.301361231859193E-003  -628.445301043111        199.999999622568     
 -7.217986326138345E-004  -620.071113968694        199.999999622704     
  1.156997468524777E-003  -611.696927788053        199.999999622848     
 -2.434608395800232E-003  -603.322742920603        199.999999622997     
 -6.706515590445177E-004  -594.948558259661        199.999999623149     
 -4.520042996107933E-004  -586.574374230732        199.999999623301     
 -8.644130429559052E-005  -578.200191031536        199.999999623448     
 -3.249237069803674E-004  -569.826008645588        199.999999623587     
 -1.685967235436559E-003  -561.451827161226        199.999999623714     
  3.255703828382606E-004  -553.077646562532        199.999999623828     
  2.630850091767371E-004  -544.703466424138        199.999999623925     
 -2.834801192411658E-003  -536.329287495155        199.999999624005     
  1.566831611373143E-003  -527.955109704344        199.999999624064     
 -9.642653780785907E-004  -519.580931593014        199.999999624102     
 -6.668929627347429E-004  -511.206753447153        199.999999624116     
 -1.161085524474058E-004  -502.832575541129        199.999999624106     
 -1.337677932810048E-003  -494.458397813419        199.999999624072     
  9.352771969763110E-004  -486.084220289916        199.999999624016     
 -1.664703698646899E-003  -477.710042721993        199.999999623937     
  6.247399151336499E-004  -469.335864797583        199.999999623837     
 -7.306608295881216E-004  -460.961686279805        199.999999623718     
 -3.614612203334424E-005  -452.587507173835        199.999999623581     
 -1.885178082955597E-003  -444.213327628327        199.999999623430     
